tenure,MonthlyCharges,TotalCharges,Gender,SeniorCitizen,Partner,Dependents,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,Churn
2,47.28220367009648,1783.9272750324826,Female,0,Yes,No,Yes,Fiber optic,Month-to-month,No,Bank transfer,1
6,115.99703293588506,3059.0723464211683,Male,0,No,No,No,DSL,Month-to-month,Yes,Mailed check,1
54,78.18815896363222,6470.694607849441,Male,1,Yes,No,Yes,No,One year,No,Bank transfer,0
4,76.24226582072464,6592.163660998306,Female,0,Yes,No,No,Fiber optic,Two year,No,Credit card,0
54,92.8073179429532,3087.9656084625276,Male,0,Yes,No,Yes,DSL,Month-to-month,Yes,Electronic check,1
63,99.17697880901376,3682.727953874287,Female,0,No,No,Yes,No,Month-to-month,No,Electronic check,1
18,83.64786073315027,2438.827980758976,Female,0,No,No,Yes,No,One year,No,Electronic check,0
44,30.809574636620003,7461.653039542949,Female,1,No,Yes,No,Fiber optic,One year,Yes,Mailed check,0
34,51.82675059944984,965.014538149294,Male,1,No,Yes,Yes,DSL,One year,Yes,Bank transfer,0
62,110.80836403260497,7471.1878943977335,Female,0,No,No,No,Fiber optic,One year,No,Bank transfer,0
14,40.46156118438519,5476.6220185497095,Female,0,Yes,No,No,No,Month-to-month,Yes,Bank transfer,1
48,55.21670238375133,4261.008922745488,Male,0,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,1
15,61.2076882944196,278.68462318184606,Male,1,No,No,Yes,No,Month-to-month,No,Credit card,1
62,61.940498969445215,3814.20880312327,Male,0,Yes,Yes,No,No,Two year,Yes,Electronic check,0
40,79.29395824945254,3272.645374131809,Male,1,Yes,Yes,No,DSL,Month-to-month,No,Credit card,0
53,112.30758377447076,1304.8485571854283,Female,1,Yes,No,No,DSL,Month-to-month,Yes,Mailed check,1
24,42.06927118325049,5257.461455142244,Male,0,Yes,Yes,No,Fiber optic,One year,Yes,Electronic check,0
26,30.150137630091805,7769.726542613657,Male,0,No,Yes,No,Fiber optic,Month-to-month,No,Electronic check,0
60,37.74704898599373,4505.39108991704,Male,0,No,No,No,Fiber optic,Month-to-month,No,Credit card,1
41,106.69249002092695,5723.160652575575,Male,1,Yes,No,Yes,No,Month-to-month,No,Mailed check,1
29,82.5810812655206,564.371512381946,Female,1,Yes,No,No,Fiber optic,One year,Yes,Mailed check,0
15,46.590678923916016,3351.817960611252,Male,0,No,Yes,No,DSL,Month-to-month,No,Electronic check,1
45,99.59469389686173,946.7734285830061,Female,1,Yes,Yes,Yes,Fiber optic,Month-to-month,No,Bank transfer,1
65,104.1369996363436,4909.336359252426,Male,0,Yes,No,Yes,Fiber optic,Two year,Yes,Mailed check,0
71,102.6514338690278,7508.9645868653815,Female,0,Yes,No,Yes,DSL,Two year,Yes,Credit card,0
9,109.89265336395545,5300.309860588619,Female,1,No,Yes,No,DSL,Two year,Yes,Mailed check,1
1,43.22410201733616,631.0419316457127,Male,1,No,Yes,Yes,No,Two year,No,Electronic check,0
8,93.50419287462783,2848.945648190931,Female,1,Yes,No,Yes,DSL,One year,Yes,Bank transfer,1
63,64.053949727414,4413.395094696877,Male,1,Yes,Yes,No,DSL,Two year,Yes,Mailed check,0
11,102.19985528900615,3236.404309455619,Female,0,Yes,No,No,Fiber optic,Month-to-month,No,Electronic check,1
8,90.84906771616131,6672.146491612825,Female,0,Yes,No,No,DSL,Two year,Yes,Mailed check,1
35,95.64474464997247,6520.703959595134,Female,0,Yes,Yes,No,No,One year,Yes,Bank transfer,0
35,83.61618376810715,4901.635202463914,Male,1,Yes,Yes,Yes,Fiber optic,Two year,No,Credit card,0
33,35.74287694697068,2998.9413180492534,Female,0,No,Yes,No,No,Two year,Yes,Electronic check,0
5,72.50269188969384,2056.094935378215,Male,1,No,No,Yes,DSL,One year,No,Electronic check,0
41,116.46697395245081,863.0888079771981,Female,1,Yes,No,No,No,One year,No,Bank transfer,0
28,111.73880664971189,2850.793309589674,Female,1,No,No,Yes,No,One year,No,Electronic check,0
7,22.31737357970117,3315.9430323520173,Female,0,Yes,No,No,DSL,One year,No,Bank transfer,0
12,34.481481572943714,5412.418588180715,Female,1,Yes,No,No,DSL,One year,No,Electronic check,0
34,31.172877345456193,5271.431717543232,Female,1,No,No,No,Fiber optic,One year,Yes,Bank transfer,0
33,90.59799099852955,577.603170616513,Female,1,No,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,1
48,99.77853298569451,3172.959855771501,Male,1,Yes,No,Yes,Fiber optic,Two year,No,Mailed check,0
23,39.35113663106719,1468.9589181289828,Male,1,Yes,No,Yes,DSL,Two year,No,Mailed check,0
62,68.5852692951829,1269.679013838743,Male,1,No,No,No,No,One year,No,Electronic check,0
37,102.07030280112,6621.5257592026965,Female,1,No,No,Yes,No,One year,Yes,Bank transfer,0
44,91.28015447662506,352.5672598291676,Male,1,Yes,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer,1
35,72.22372054918483,3363.9177154507324,Female,1,Yes,No,No,Fiber optic,Month-to-month,Yes,Credit card,0
65,77.03476904587728,1360.6015803283483,Male,1,Yes,Yes,No,DSL,One year,No,Mailed check,0
47,68.836054691628,7036.813781545579,Male,1,No,Yes,Yes,No,Month-to-month,Yes,Credit card,0
3,47.75484513188206,4464.29737696133,Female,1,Yes,No,No,Fiber optic,Month-to-month,Yes,Mailed check,1
1,74.50219928590161,1864.880239560001,Female,0,No,No,Yes,DSL,One year,No,Credit card,0
5,86.88853020500906,4028.3746061620163,Male,0,Yes,Yes,No,Fiber optic,One year,No,Mailed check,0
14,105.33229158608077,5856.72412315027,Male,1,No,Yes,No,DSL,One year,Yes,Bank transfer,0
27,81.62913539792481,7665.697947194921,Male,1,No,No,No,No,One year,Yes,Mailed check,0
9,94.1121537043158,1777.600005886934,Male,1,No,Yes,Yes,DSL,Two year,Yes,Electronic check,1
15,34.0071634954573,7091.502905136433,Female,0,No,No,Yes,Fiber optic,Two year,Yes,Mailed check,0
42,64.15574744197899,7475.615439284908,Male,0,Yes,No,No,Fiber optic,One year,No,Mailed check,0
51,18.93316198270933,7332.868786454953,Female,0,No,Yes,Yes,No,Month-to-month,No,Bank transfer,1
63,42.66788645216231,5089.877396471764,Female,1,No,No,Yes,No,One year,No,Electronic check,0
52,90.64617151130048,5045.228463697837,Male,1,No,No,No,Fiber optic,Two year,No,Bank transfer,0
4,117.18099513493634,3236.4272740732736,Female,1,Yes,No,No,Fiber optic,Month-to-month,No,Credit card,1
23,27.91780995872159,6023.639896548835,Male,1,Yes,Yes,Yes,Fiber optic,Two year,Yes,Credit card,0
15,58.14943158612883,4258.788854477139,Female,0,Yes,Yes,No,No,One year,No,Electronic check,0
43,98.00709686991596,5425.310684544246,Female,1,Yes,Yes,No,Fiber optic,Two year,No,Credit card,0
29,38.403563462889885,3437.9509885210855,Male,0,Yes,No,Yes,No,Two year,Yes,Electronic check,0
36,73.50849493022862,5856.804775992336,Female,0,Yes,Yes,Yes,Fiber optic,Two year,No,Mailed check,0
13,91.30712960296748,6598.93165351951,Female,1,No,Yes,No,DSL,Month-to-month,Yes,Credit card,1
32,79.5985450260179,1186.8542002036781,Male,0,No,Yes,Yes,DSL,Two year,No,Mailed check,0
71,36.80247346154161,6666.444989713488,Female,0,No,No,Yes,Fiber optic,Month-to-month,No,Bank transfer,0
59,53.538456868573945,4330.646916750233,Female,0,Yes,No,No,DSL,One year,No,Credit card,0
28,96.37917844853972,6760.123286358171,Male,0,No,Yes,No,No,One year,Yes,Bank transfer,0
66,73.42265141320166,3460.6502200139785,Male,1,No,Yes,No,DSL,Two year,No,Bank transfer,0
42,18.522961354291272,3043.5011543273854,Female,1,Yes,Yes,No,DSL,Month-to-month,Yes,Electronic check,1
45,94.09907600280938,7322.0147669524695,Female,0,No,No,Yes,No,One year,No,Bank transfer,0
62,21.531135494023907,2022.833093571339,Female,1,Yes,Yes,Yes,DSL,Month-to-month,No,Electronic check,0
57,92.57337827312321,6756.502780433994,Male,0,No,No,No,DSL,Month-to-month,Yes,Electronic check,1
6,38.24805601652374,3881.4522097700637,Female,1,Yes,No,No,Fiber optic,Two year,Yes,Electronic check,0
28,113.80734801193802,4121.509822444155,Female,1,Yes,No,No,No,Two year,No,Electronic check,0
28,54.79407513020845,2480.1938228490612,Female,1,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,0
44,50.69316163380791,4592.022845340983,Female,1,No,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,0
30,32.888805033244466,2613.8357686767185,Female,1,No,No,Yes,Fiber optic,Two year,No,Electronic check,0
62,48.560421549021484,331.44846447686876,Female,0,Yes,No,No,DSL,Month-to-month,Yes,Credit card,1
62,105.66507618282006,2189.09286785865,Male,1,Yes,No,No,DSL,Two year,Yes,Electronic check,0
1,117.63343376272474,68.91752447140681,Male,0,No,No,Yes,DSL,Month-to-month,Yes,Mailed check,1
27,54.83095305068483,7827.227910287829,Female,0,No,Yes,Yes,Fiber optic,Two year,No,Credit card,0
62,62.861063095454256,7726.594228781224,Female,1,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,1
3,90.2070938202737,3172.129584423939,Male,0,No,No,Yes,DSL,Two year,No,Mailed check,1
70,106.61957804650746,5831.856159339054,Male,1,No,No,No,Fiber optic,Month-to-month,Yes,Credit card,1
27,77.30443341867841,2778.224277512012,Male,0,No,No,Yes,No,One year,Yes,Mailed check,0
9,57.15256981778293,5374.665579860261,Female,0,Yes,Yes,Yes,Fiber optic,One year,Yes,Bank transfer,0
62,59.262184084862376,6446.9426035930055,Female,1,Yes,No,Yes,DSL,Month-to-month,Yes,Bank transfer,0
37,87.56181464968068,7575.008345133466,Female,1,No,Yes,No,Fiber optic,One year,Yes,Electronic check,0
51,18.321826360427867,3212.494385832082,Female,1,Yes,No,No,Fiber optic,Month-to-month,No,Electronic check,1
44,79.95893374598407,6270.284499955173,Male,1,No,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,0
24,53.54930104413574,2140.640892945572,Male,0,No,Yes,Yes,Fiber optic,One year,Yes,Electronic check,0
59,97.41973312770843,7922.832448880901,Male,1,Yes,No,No,No,Month-to-month,No,Mailed check,1
32,27.299063982313214,223.6929373370508,Male,0,Yes,Yes,No,DSL,Two year,No,Bank transfer,0
52,76.82022669483905,4835.366933491948,Female,0,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,1
62,66.09728898861238,5282.1767455408935,Female,0,No,Yes,No,Fiber optic,Month-to-month,No,Credit card,1
58,82.23255259052274,5509.979636565697,Male,0,No,Yes,Yes,Fiber optic,One year,Yes,Credit card,0
52,24.485359448296833,978.9336538945084,Male,0,Yes,No,No,DSL,Two year,Yes,Credit card,0
12,75.99837874281313,7509.344731682527,Male,0,Yes,No,Yes,DSL,Month-to-month,No,Credit card,1
39,74.14845879595237,1464.2049333777609,Male,1,Yes,No,Yes,No,Month-to-month,Yes,Credit card,0
2,74.0660094416171,4988.8176646604115,Male,0,No,No,No,No,Month-to-month,No,Bank transfer,1
3,78.34876665964548,1795.4004635604642,Female,0,No,No,Yes,DSL,Month-to-month,No,Mailed check,1
56,85.64679372263622,2470.201440663784,Female,0,No,Yes,No,No,Month-to-month,Yes,Credit card,1
59,98.49889996807697,4379.832080073888,Male,1,Yes,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,1
2,44.98207201282143,3348.0378669824495,Male,1,Yes,Yes,No,Fiber optic,Two year,No,Bank transfer,0
2,100.5049410180062,1296.9207469944731,Male,0,No,Yes,Yes,DSL,Two year,Yes,Electronic check,0
54,67.82556822634535,1382.414364123211,Female,1,Yes,No,Yes,No,Month-to-month,No,Bank transfer,1
1,25.70582791343312,3355.6316991154667,Female,0,Yes,No,Yes,Fiber optic,Month-to-month,No,Bank transfer,1
19,23.85509292439792,6062.632732595047,Female,1,Yes,Yes,No,DSL,One year,No,Electronic check,0
2,51.42383186960608,7185.553811139048,Male,0,Yes,No,Yes,No,Two year,No,Electronic check,0
53,96.48969771114676,689.5070001543938,Female,1,No,Yes,Yes,Fiber optic,Two year,Yes,Credit card,0
44,88.76809347409157,3155.7553901391393,Male,1,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,1
32,96.86149646724064,818.1600896360012,Female,1,No,No,Yes,No,Two year,No,Mailed check,0
70,69.72690564416094,150.4411804093963,Female,0,No,No,No,No,Two year,No,Bank transfer,0
32,62.01989979554906,5299.838524864062,Female,0,Yes,No,Yes,DSL,One year,Yes,Bank transfer,0
68,32.745252670628396,4826.751445777304,Male,0,No,No,No,Fiber optic,One year,No,Credit card,0
55,50.81927536093116,1319.2185664704218,Male,1,No,No,No,DSL,Two year,No,Bank transfer,0
56,61.40193661738753,1884.2940337488378,Female,1,Yes,No,No,Fiber optic,Two year,Yes,Electronic check,0
17,26.860042967961725,207.2352895905457,Male,0,No,No,No,Fiber optic,Two year,No,Bank transfer,0
38,40.06119527112112,6682.548595852731,Male,1,No,Yes,Yes,DSL,Month-to-month,No,Bank transfer,0
24,77.82252940637389,7797.980337659537,Male,0,No,No,Yes,DSL,One year,No,Electronic check,0
69,91.56631142391899,1099.238022695222,Male,0,No,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,1
70,117.83475113929497,1865.6351562746095,Male,0,No,Yes,No,Fiber optic,One year,Yes,Bank transfer,0
11,111.31133313435576,6949.644820144427,Male,0,No,No,Yes,Fiber optic,One year,Yes,Mailed check,0
16,82.25651995351916,7413.034035286268,Male,1,No,Yes,No,No,One year,Yes,Electronic check,0
59,60.1248053294072,3367.4657695639603,Female,1,No,No,Yes,Fiber optic,Two year,No,Mailed check,0
70,81.61773647082327,422.06857365174966,Male,1,Yes,Yes,Yes,DSL,One year,Yes,Mailed check,0
3,96.56516180802319,332.4256165360845,Male,0,Yes,Yes,Yes,DSL,Month-to-month,Yes,Credit card,1
20,29.833619092338733,4599.267830962841,Female,1,Yes,Yes,No,DSL,One year,No,Mailed check,0
59,58.99048896962883,3154.088759185355,Female,0,No,No,Yes,Fiber optic,Month-to-month,Yes,Credit card,1
36,101.98022856356172,246.70367692483833,Female,0,No,Yes,No,Fiber optic,One year,Yes,Mailed check,0
19,56.3832951933044,4673.520595438828,Female,0,No,Yes,No,No,One year,Yes,Credit card,0
67,75.18722712271865,108.21684705357737,Male,0,Yes,Yes,No,No,Two year,No,Electronic check,0
19,76.77693608621982,6302.802969947496,Female,0,Yes,No,Yes,DSL,Month-to-month,No,Bank transfer,1
20,36.447625313363936,2463.946790818312,Female,0,Yes,Yes,Yes,No,One year,Yes,Bank transfer,0
71,54.22354416522884,339.3393800196906,Male,1,No,No,No,No,One year,Yes,Credit card,0
52,51.451128874193216,4714.22742788753,Male,1,Yes,Yes,No,DSL,Month-to-month,No,Electronic check,0
33,20.61967085320648,3192.3169960046425,Male,1,Yes,Yes,No,Fiber optic,One year,No,Credit card,0
40,20.419176389135526,7790.874899416767,Female,1,No,Yes,No,No,Two year,No,Credit card,0
39,101.16970436757735,4361.793724104551,Male,0,Yes,No,No,Fiber optic,Month-to-month,No,Electronic check,1
1,45.30708099728124,2214.9591430374003,Female,0,No,Yes,Yes,DSL,Two year,Yes,Mailed check,0
11,69.80787662388154,5680.741017508387,Male,1,Yes,Yes,Yes,DSL,Month-to-month,No,Mailed check,1
57,47.8725573588773,2185.049164295922,Male,1,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0
50,112.06792451153404,7235.669952015184,Female,1,No,Yes,No,DSL,Month-to-month,No,Credit card,1
23,43.92967588657737,3009.030768589879,Male,1,No,No,No,DSL,One year,No,Bank transfer,0
31,60.96568127389351,4407.05086807967,Male,1,No,Yes,Yes,DSL,Month-to-month,No,Credit card,1
42,105.27302504846018,421.67451472499476,Male,1,No,Yes,Yes,No,Month-to-month,No,Mailed check,1
7,102.19335667918087,3419.299721334706,Male,1,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,1
16,36.61014178462773,6661.925773574062,Male,1,No,Yes,No,No,Two year,Yes,Electronic check,0
60,98.26433097957104,6448.688764410195,Female,0,No,No,No,DSL,Month-to-month,Yes,Electronic check,1
2,63.81868867378927,1808.5107367688465,Female,0,No,Yes,Yes,Fiber optic,One year,No,Mailed check,0
1,66.29688720853552,1822.5631448063114,Male,0,No,Yes,No,DSL,Month-to-month,Yes,Credit card,1
48,31.347997241594378,6541.731002086056,Female,0,Yes,No,No,No,Month-to-month,No,Electronic check,0
12,26.060151375712465,7444.440189791556,Female,1,No,Yes,No,Fiber optic,Two year,No,Bank transfer,0
69,90.79393069737652,779.1708736011143,Female,0,Yes,Yes,Yes,Fiber optic,One year,Yes,Electronic check,0
37,67.64611523552998,3610.36805990013,Male,1,No,Yes,No,No,One year,No,Credit card,0
32,61.68507026151796,2711.5600546924757,Male,0,No,No,Yes,Fiber optic,One year,No,Mailed check,0
9,90.95082286523967,6967.835251461281,Male,1,Yes,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer,1
19,94.55128989911097,684.6958689759098,Female,1,Yes,No,No,No,Month-to-month,No,Bank transfer,1
48,33.89081676693536,1703.2072734982546,Female,0,Yes,No,Yes,Fiber optic,One year,No,Electronic check,0
3,79.02251494776414,6024.2022706153975,Male,0,No,No,No,Fiber optic,One year,Yes,Credit card,0
20,31.535408227768553,427.4275025680628,Male,1,Yes,No,Yes,No,Two year,Yes,Electronic check,0
24,93.13750860290457,3949.417408861457,Female,1,No,No,No,Fiber optic,One year,No,Bank transfer,0
54,83.69551562671396,3546.898350813525,Female,1,Yes,No,Yes,Fiber optic,Month-to-month,Yes,Electronic check,1
33,113.6614621083458,2687.1902106881917,Male,0,Yes,No,No,Fiber optic,Month-to-month,No,Credit card,1
24,24.89580163564212,3167.4762208756497,Female,0,No,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,1
36,23.70547211512543,4247.985764877119,Female,1,Yes,Yes,Yes,No,Two year,No,Bank transfer,0
38,46.218707469320016,1306.0342546560742,Female,0,Yes,No,No,DSL,One year,Yes,Credit card,0
25,44.1705683735906,4583.671100459637,Female,1,No,No,Yes,DSL,Month-to-month,Yes,Electronic check,1
18,42.69787990719998,6446.960852472491,Female,0,No,No,No,Fiber optic,Two year,No,Bank transfer,0
66,108.62545805210367,6085.604541585049,Female,0,No,No,Yes,No,Two year,Yes,Electronic check,0
54,42.95461998495061,1246.4290392657015,Female,0,Yes,No,No,No,Month-to-month,Yes,Electronic check,0
35,45.1949726128631,1209.3092674764448,Male,0,Yes,No,No,Fiber optic,Two year,No,Mailed check,0
61,93.93982624179637,2158.567803339898,Male,0,Yes,Yes,No,DSL,Two year,Yes,Electronic check,0
41,62.973984245054,2900.098465654159,Female,1,Yes,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,0
33,95.67105569551812,3278.292450802508,Female,1,Yes,No,Yes,No,Two year,Yes,Credit card,0
68,24.536615756438522,5443.343184763762,Female,0,No,No,No,No,Month-to-month,No,Electronic check,0
33,66.75711936733843,470.4232095476982,Male,1,Yes,No,No,DSL,Month-to-month,Yes,Mailed check,1
14,21.361360018328263,294.7575251324619,Male,1,No,Yes,No,No,Two year,No,Electronic check,0
21,24.26532034553545,3146.2301134182817,Female,0,Yes,No,No,No,Month-to-month,No,Electronic check,0
48,108.64374533444109,5582.76059064536,Male,1,No,Yes,No,No,Month-to-month,Yes,Electronic check,1
20,31.924537111759516,1562.000907478644,Female,0,Yes,Yes,Yes,DSL,One year,No,Bank transfer,0
8,71.24206822752171,5138.488769387401,Female,1,Yes,Yes,No,No,Month-to-month,No,Mailed check,1
7,59.10956026007065,2091.9481970394704,Female,1,No,No,Yes,Fiber optic,One year,No,Bank transfer,0
67,52.73433262588427,7090.739320549487,Female,1,Yes,No,Yes,DSL,One year,No,Mailed check,0
17,107.98333456872724,7167.397135136133,Female,1,No,Yes,No,Fiber optic,One year,Yes,Mailed check,0
33,20.18233967754895,2390.946464573548,Female,1,Yes,Yes,No,Fiber optic,One year,Yes,Credit card,0
48,84.37896861755891,1853.8101441345857,Female,1,Yes,Yes,Yes,DSL,Two year,Yes,Bank transfer,0
59,114.33944342135504,3301.028305032658,Male,1,No,Yes,Yes,Fiber optic,Two year,No,Mailed check,0
22,74.0168183461842,1937.9231129079471,Female,0,Yes,No,Yes,DSL,Month-to-month,No,Mailed check,1
30,111.68224620330918,5384.967837154379,Male,0,No,Yes,No,Fiber optic,Month-to-month,Yes,Credit card,1
38,23.225787928602376,6611.648312064415,Female,0,Yes,No,Yes,DSL,Month-to-month,No,Bank transfer,1
51,59.87933190741614,5390.621388933334,Female,0,Yes,Yes,Yes,No,Two year,Yes,Electronic check,0
54,44.015779096205115,6597.965269944308,Male,1,Yes,No,No,No,One year,No,Credit card,0
8,91.08209649807299,3186.7914387400583,Male,1,Yes,Yes,Yes,Fiber optic,Two year,Yes,Mailed check,1
27,116.12970904972467,1265.7220601981273,Female,1,Yes,No,No,No,Two year,Yes,Bank transfer,0
27,43.65300624442478,5908.324462127581,Male,0,Yes,No,Yes,DSL,Month-to-month,Yes,Mailed check,1
21,83.41746014740745,2895.307500039883,Female,0,Yes,No,No,Fiber optic,Month-to-month,No,Credit card,1
30,37.809763275974014,5376.083726978935,Female,0,No,Yes,Yes,No,Month-to-month,Yes,Credit card,1
28,74.53302545716099,2178.279944898454,Male,1,Yes,No,No,No,One year,No,Bank transfer,0
64,64.39324866883362,666.3749450268613,Male,0,Yes,Yes,No,Fiber optic,One year,No,Credit card,0
69,115.2005329631537,7940.787891583327,Male,1,Yes,No,Yes,No,Two year,Yes,Credit card,0
61,78.85272726964666,1264.8004363020434,Male,0,No,No,No,No,One year,Yes,Electronic check,0
48,52.950637208681876,7907.576373816506,Female,1,No,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,1
19,29.409578488793336,7818.648421745383,Male,0,Yes,No,No,No,One year,No,Electronic check,0
4,33.124682873493455,6354.256105393973,Male,1,Yes,No,No,No,One year,Yes,Electronic check,0
35,40.53169299512351,5281.514083338505,Male,0,Yes,Yes,No,No,One year,Yes,Bank transfer,0
64,43.0966661340298,4630.055875104158,Male,0,No,No,No,No,One year,No,Credit card,0
49,103.06160578411378,6931.222535205877,Male,1,Yes,No,No,Fiber optic,Month-to-month,Yes,Mailed check,1
17,74.12227882825249,2328.3062615667527,Female,1,No,No,No,DSL,Month-to-month,Yes,Mailed check,1
